person_identifier,rural_urban,survey_weight,smoke,age,race,gender,highest_education,educ_highest_school_grade,educ_current_level
640576,Urban,1386.322,No,37,Coloured,Male,Honours Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
405734,Urban,2462.323,Yes,23,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
305961,Traditional,980.3248,No,37,African,Female,Certificate not requiring Grade 12/Std. 10,Grade 11/Std. 9/Form 4,
731651,Traditional,980.3248,No,45,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 11/Std. 9/Form 4,
303668,Traditional,143.2697,Yes,49,African,Male,Grade 5 (Std. 3),No schooling,
703450,Traditional,143.2697,No,25,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
746176,Traditional,143.2697,No,62,African,Female,Grade 5 (Std. 3),Grade 5/Std. 3,
769557,Traditional,143.2697,Yes,40,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
310664,Farms,405.9828,No,49,African,Female,Grade 2 (Previously Sub B/Class 2),Grade 2/Sub B/Class 2,
319004,Urban,1411.553,No,39,Coloured,Male,Certificate not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
401698,Traditional,1016.516,No,24,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
716968,Traditional,1016.516,No,44,African,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
734074,Traditional,1016.516,No,62,African,Female,No Schooling,No schooling,
755010,Traditional,1016.516,No,66,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
795652,Traditional,1016.516,No,27,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
316119,Traditional,543.4894,No,49,African,Male,"Higher Degree (Masters, Doctorate)",Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
796156,Traditional,543.4894,No,33,African,Female,"Higher Degree (Masters, Doctorate)",Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
408602,Traditional,653.0383,No,19,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
735370,Traditional,653.0383,Yes,57,African,Male,Grade 5 (Std. 3),Grade 5/Std. 3,
402360,Traditional,920.5716,No,22,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
501627,Traditional,2476.955,No,58,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
317435,Traditional,563.9335,No,38,African,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
317437,Traditional,563.9335,No,27,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
784739,Traditional,563.9335,No,24,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
744715,Urban,124.5924,No,57,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
779432,Urban,124.5924,No,27,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,N5 (NATED)
799697,Urban,124.5924,No,19,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
501912,Urban,2651.162,No,36,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
317135,Traditional,710.9758,No,42,African,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
317136,Traditional,710.9758,No,40,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
721974,Traditional,710.9758,No,64,African,Female,No Schooling,No schooling,
731214,Traditional,710.9758,No,34,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
734380,Traditional,710.9758,Yes,29,African,Male,Grade 8 (Std. 6/Form 1),Grade 9/Std. 7/Form 2,
785389,Traditional,710.9758,No,31,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
314591,Traditional,1764.021,Yes,31,African,Male,Grade 11 (Std. 9/Form 4),Grade 10/Std. 8/Form 3,
305204,Urban,302.8372,Yes,27,Coloured,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
668025,Urban,1364.521,No,29,African,Female,Diploma not requiring Grade 12/Std. 10,Grade 11/Std. 9/Form 4,
302842,Urban,158.2447,No,48,Coloured,Female,Grade 2 (Previously Sub B/Class 2),Grade 2/Sub B/Class 2,
405988,Urban,158.2447,Yes,23,Coloured,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
309867,Urban,267.9846,No,28,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
729169,Urban,267.9846,No,32,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
319238,Urban,206.2572,Yes,33,Coloured,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
319239,Urban,206.2572,Yes,40,Coloured,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
305867,Traditional,1584.079,No,27,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
305868,Traditional,1584.079,No,32,African,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
305877,Traditional,1584.079,No,59,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
403283,Traditional,1584.079,No,22,African,Male,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
723337,Traditional,1584.079,No,19,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
323956,Urban,299.2734,No,36,Coloured,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
583059,Urban,299.2734,No,35,Coloured,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
733305,Urban,299.2734,No,20,Coloured,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
405423,Traditional,1002.959,No,21,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,National Certificate Vocational 2 (NCV 2)
314105,Urban,4861.635,No,25,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
319598,Urban,2254.545,No,67,African,Female,No Schooling,No schooling,
320417,Urban,2254.545,No,37,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
304391,Traditional,1220.038,No,51,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
403409,Traditional,1220.038,No,18,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
733361,Traditional,1220.038,No,32,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
745077,Traditional,1220.038,No,25,African,Female,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
302304,Urban,15981.83,Yes,54,African,Male,Grade 5 (Std. 3),Grade 5/Std. 3,
308983,Urban,15981.83,No,32,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
308985,Urban,15981.83,No,28,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
310227,Urban,15981.83,No,25,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
310233,Urban,15981.83,No,52,African,Female,Grade 5 (Std. 3),Grade 5/Std. 3,
322205,Urban,529.0629,No,34,Coloured,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
322206,Urban,529.0629,Yes,58,Coloured,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
391103,Urban,529.0629,No,27,Coloured,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
491186,Urban,529.0629,No,21,Coloured,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
732611,Urban,529.0629,Yes,43,Coloured,Male,Grade 5 (Std. 3),Grade 5/Std. 3,
323459,Urban,5948.251,Yes,41,Coloured,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
727480,Urban,5948.251,Yes,61,Coloured,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
304963,Urban,2698.688,Yes,33,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
306589,Urban,1951.82,No,30,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
704189,Urban,1951.82,No,24,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
410205,Urban,681.5212,No,19,African,Male,Others (Specify),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
303522,Traditional,140.2156,No,27,African,Female,Diploma not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
755316,Traditional,140.2156,No,49,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
